belongs_to_collection;budget;first_genre;other_genres;original_language;overview;popularity;company;country;release_date;revenue;runtime;spoken_languages;tagline;title;vote_average;votecount;keywords
Planet of the Apes Original Collection;5800000;Science Fiction;Adventure Drama Action ;en;An  U.S. Spaceship lands on a desolate planet  stranding astronaut Taylor in a world dominated by apes  2000 years into the future  who use a primitive race of humans for experimentation and sport. Soon Taylor finds himself among the hunted  his life in the hands of a benevolent chimpanzee scientist.;10.265;APJAC Productions;United States of America;1968-02-07;33395426;112;en;Somewhere in the Universe  there must be something better than man!;Planet of the Apes;7.6;1433;human evolution gorilla bondage space marine chimp slavery space travel time travel dystopia apocalypse astronaut ape human subjugation 
;0;Animation;Drama Fantasy Science Fiction ;fr;The dialogue-less film follows the major life stages of a castaway on a deserted tropical island populated by turtles  crabs and birds.;8.883;Why Not Productions;Belgium;2016-06-29;921974;80;xx;;The Red Turtle;7.6;470;loneliness crab survival coming of age raft sea turtle deserted island flood anime 
;178000000;Action;Science Fiction ;en;Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes  managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.;16.183;RatPac-Dune Entertainment;Australia;2014-05-27;370541256;113;en;Live  Die  Repeat;Edge of Tomorrow;7.6;7062;deja vu time warp restart dystopia war alien military officer soldier alien invasion exoskeleton 
;8000000;Comedy;Drama ;en;A family loaded with quirky  colorful characters piles into an old van and road trips to California for little Olive to compete in a beauty pageant.;6.907;Fox Searchlight Pictures;United States of America;2006-07-26;100523181;102;en;A family on the verge of a breakdown;Little Miss Sunshine;7.6;2918;sibling relationship california wife husband relationship familys daily life highway literature professor beauty contest beauty queen contest road trip family relationships family holiday road movie woman director beauty pageant 
;1600000;Crime;Drama Mystery ;en;Surveillance expert Harry Caul is hired by a mysterious clients brusque aide to tail a young couple. Tracking the pair through San Franciscos Union Square  Caul and his associate Stan manage to record a cryptic conversation between them. Tormented by memories of a previous case that ended badly  Caul becomes obsessed with the resulting tape  trying to determine if the couple are in danger.;6.745;Paramount;United States of America;1974-04-07;4420000;113;en;Harry Caul is an invader of privacy. The best in the business.;The Conversation;7.6;541;san francisco saxophone paranoia audio tape wiretap shadowing surveillance 
;1250000;Drama;;en;Don Birnam  a long-time alcoholic  has been sober for ten days and appears to be over the worst... but his craving has just become more insidious. Evading a country weekend planned by his brother and girlfriend  he begins a four-day bender that just might be his last - one way or another.;5.402;Paramount;United States of America;1945-11-29;11000000;101;en;The screen dares to open the strange and savage pages of a shocking bestseller!;The Lost Weekend;7.6;184;desperation paranoia weekend bartender brother addiction alcoholism suicidal writer alcoholic bats low self esteem flashback dishonesty film noir hopelessness delirium tremens lies evasion devoted girlfriend 
;52500000;Drama;Romance ;en;A celebration of love and creative inspiration takes place in the infamous  gaudy and glamorous Parisian nightclub  at the cusp of the 20th century. A young poet  who is plunged into the heady world of Moulin Rouge  begins a passionate affair with the clubs most notorious and beautiful star.;9.81;Bazmark Films;Australia;2001-03-09;179213434;127;fr;No Laws. No Limits. One Rule. Never Fall In Love.;Moulin Rouge!;7.6;2238;fairy duke musical writers block music terminal illness writer moulin rouge bohemian red curtain cancan dance la traviata orpheus and eurydice dance hall absinthe 
;0;Drama;Family ;en;Based on the true story of Homer Hickam  a coal miners son who was inspired by the first Sputnik launch to take up rocketry against his fathers wishes  and eventually became a NASA scientist.;7.464;Universal Pictures;United States of America;1999-02-19;0;108;en;Sometimes one dream is enough to light up the whole sky.;October Sky;7.6;406;based on novel or book parent child relationship small town satellite biography rocket west virginia mining accident teacher student coal mine 1950s sputnik rocketry 
;7700000;Adventure;Drama Action History War ;en;World War II is raging  and an American general has been captured and is being held hostage in the Schloss Adler  a Bavarian castle thats nearly impossible to breach. Its up to a group of skilled Allied soldiers to liberate the general before its too late.;6.631;Jerry Gershwin Productions;United Kingdom;1968-12-04;21000000;155;en;One Weekend Major Smith  Lieutenant Schaffer  And A Beautiful Blonde Named Mary Decided To Win World War II;Where Eagles Dare;7.6;330;germany world war ii liberation of prisoners alps 
;5000000;Crime;Drama Mystery Thriller ;ko;A mother lives quietly with her son. One day  a girl is brutally killed  and the boy is charged with the murder. Now  its his mothers mission to prove him innocent.;4.396;Barunson Film Division;South Korea;2009-05-28;17112713;129;ko;Shell stop at nothing;Mother;7.6;286;golf rice murder teenage girl cell phone golf course drunk golf club needle drunkenness acupuncture 
The Exorcist Collection;8000000;Drama;Horror Thriller ;en;12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter  and ultimately turns to her last hope: Father Damien Karras  a troubled priest who is struggling with his own faith.;13.276;Hoya Productions;United States of America;1973-12-26;441306145;122;de;Something almost beyond comprehension is happening to a girl on this street  in this house... and a man has been sent for as a last resort. This man is The Exorcist.;The Exorcist;7.6;3282;exorcism holy water religion and supernatural vomit christian possession profanity priest ouija board satan paranormal phenomena girl demon strong language disturbed child crisis of faith sfx 
;55000000;Drama;;en;An IRS agent with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.;9.395;Escape Artists;United States of America;2008-12-18;168167691;123;en;Seven names. Seven strangers. One secret.;Seven Pounds;7.6;3236;sadness vegetarian tax collector pianist blind organ transplant blood type sad story 
;15000000;Drama;Thriller Mystery ;en;A tormented jazz musician finds himself lost in an enigmatic story involving murder  surveillance  gangsters  doppelgangers  and an impossible transformation inside a prison cell.;7.906;Ciby 2000;United States of America;1997-01-15;3675201;134;en;;Lost Highway;7.6;943;schizophrenia prison pornography sadistic dual identity jealousy dream eroticism sexual frustration violent husband paranoia headache impotence motel prison cell jazz musician nightmare gangster vicious circle car mechanic hallucination cadillac suspicion bloodthirstiness bedroom housebreaking highway surreal identity crisis dying and death transformation police insanity murder car crash extramarital affair videotape female corpse 
;0;Music;Drama Romance ;en;A romantic drama based on the story of Carley Allison  a promising 18 year old figure skater and singer who made medical history in her fight against a rare 1 in 3.5 billion type of sarcoma.;6.734;Mythic Productions;Canada;2017-02-10;0;95;en;;Kiss and Cry;7.6;154;cancer figure skating teenage girl woman director 
;14390509;Adventure;Drama Romance ;fr;Two men answer the call of the ocean in this romantic fantasy-adventure.  Jacques and Enzo are a pair of friends who have been close since childhood  and who share a passion for the dangerous sport of free diving. Professional diver Jacques opted to follow in the footsteps of his father  who died at sea when Jacques was a boy to the bewilderment of scientists  Jacques harbors a remarkable ability to adjust his heart rate and breathing pattern in the water  so that his vital signs more closely resemble that of dolphins than men (he even considers a school of dolphins as his extended family).  As Enzo persuades a reluctant Jacques to compete against him in a free diving contest -- determining who can dive deeper and longer without scuba gear -- Jacques meets Johana  a beautiful insurance investigator from America  and he finds that he must choose between his love for her and his love of the sea.;6.945;Gaumont;France;1988-05-11;0;168;en;Danger...Like Passion...Runs Deep;The Big Blue;7.6;600;italy suicide diving ocean competition oxygen sicily dolphin apnoe-diving parent child relationship dying and death friendship sport 
